,Confirmed,Deaths,Susceptible,date
0,33969,443.0,339962151.0,2020-01-22
1,43719,580.0,339952264.0,2020-01-23
2,53839,720.0,339942004.0,2020-01-24
3,65976,959.0,339929628.0,2020-01-25
4,83953,1225.0,339911385.0,2020-01-26
5,101759,1603.0,339893201.0,2020-01-27
6,124111,2119.0,339870333.0,2020-01-28
7,140741,2507.0,339853315.0,2020-01-29
8,161861,3016.0,339831686.0,2020-01-30
9,188218,3896.0,339804449.0,2020-01-31
10,216936,5222.0,339774405.0,2020-02-01
11,247200,6449.0,339742914.0,2020-02-02
12,279470,7638.0,339709455.0,2020-02-03
13,312007,9028.0,339675528.0,2020-02-04
14,339156,10267.0,339647140.0,2020-02-05
15,369409,11541.0,339615613.0,2020-02-06
16,398303,13518.0,339584742.0,2020-02-07
17,431335,15486.0,339549742.0,2020-02-08
18,463758,17290.0,339515515.0,2020-02-09
19,498578,19409.0,339478576.0,2020-02-10
20,528244,21261.0,339447058.0,2020-02-11
21,555689,22891.0,339417983.0,2020-02-12
22,581255,24456.0,339390852.0,2020-02-13
23,608056,26789.0,339361718.0,2020-02-14
24,637841,29300.0,339329422.0,2020-02-15
25,668591,33905.0,339294067.0,2020-02-16
26,700980,37775.0,339257808.0,2020-02-17
27,732894,39637.0,339224032.0,2020-02-18
28,758645,41669.0,339196249.0,2020-02-19
29,784790,43217.0,339168556.0,2020-02-20
30,812575,45473.0,339138515.0,2020-02-21
31,842166,47676.0,339106721.0,2020-02-22
32,869507,50968.0,339076088.0,2020-02-23
33,904874,52866.0,339038823.0,2020-02-24
34,938065,54707.0,339003791.0,2020-02-25
35,964770,55913.0,338975880.0,2020-02-26
36,988345,57314.0,338950904.0,2020-02-27
37,1012880,59402.0,338924281.0,2020-02-28
38,1040757,61866.0,338893940.0,2020-02-29
39,1070523,63761.0,338862279.0,2020-03-01
40,1104640,65698.0,338826225.0,2020-03-02
41,1132823,67319.0,338796421.0,2020-03-03
42,1157355,68707.0,338770501.0,2020-03-04
43,1179754,69977.0,338746832.0,2020-03-05
44,1203461,71986.0,338721116.0,2020-03-06
45,1227642,74197.0,338694724.0,2020-03-07
46,1256819,76401.0,338663343.0,2020-03-08
47,1284225,77938.0,338634400.0,2020-03-09
48,1309209,79543.0,338607811.0,2020-03-10
49,1328645,80370.0,338587548.0,2020-03-11
50,1346919,81544.0,338568100.0,2020-03-12
51,1369605,83201.0,338543757.0,2020-03-13
52,1389919,84869.0,338521775.0,2020-03-14
53,1415991,86635.0,338493937.0,2020-03-15
54,1440762,88216.0,338467585.0,2020-03-16
55,1465529,89396.0,338441638.0,2020-03-17
56,1484880,90255.0,338421428.0,2020-03-18
57,1506626,91089.0,338398848.0,2020-03-19
58,1526735,92538.0,338377290.0,2020-03-20
59,1549966,94007.0,338352590.0,2020-03-21
60,1574785,95225.0,338326553.0,2020-03-22
61,1598969,96460.0,338301134.0,2020-03-23
62,1619138,97536.0,338279889.0,2020-03-24
63,1639675,98178.0,338258710.0,2020-03-25
64,1659237,98720.0,338238606.0,2020-03-26
65,1677229,99392.0,338219942.0,2020-03-27
66,1695876,100842.0,338199845.0,2020-03-28
67,1717294,101923.0,338177346.0,2020-03-29
68,1741996,103070.0,338151497.0,2020-03-30
69,1765287,104034.0,338127242.0,2020-03-31
70,1784625,104673.0,338107265.0,2020-04-01
71,1805839,105429.0,338085295.0,2020-04-02
72,1825546,106378.0,338064639.0,2020-04-03
73,1844677,107355.0,338044531.0,2020-04-04
74,1872108,108370.0,338016085.0,2020-04-05
75,1903168,109481.0,337983914.0,2020-04-06
76,1924904,110179.0,337961480.0,2020-04-07
77,1943060,110640.0,337942863.0,2020-04-08
78,1960003,111119.0,337925441.0,2020-04-09
79,1980232,112065.0,337904266.0,2020-04-10
80,2002429,112953.0,337881181.0,2020-04-11
81,2024418,113792.0,337858353.0,2020-04-12
82,2050815,114634.0,337831114.0,2020-04-13
83,2075536,115347.0,337805680.0,2020-04-14
84,2094788,115678.0,337786097.0,2020-04-15
85,2115903,116071.0,337764589.0,2020-04-16
86,2140620,116847.0,337739096.0,2020-04-17
87,2167549,117599.0,337711415.0,2020-04-18
88,2195421,118300.0,337682842.0,2020-04-19
89,2226857,118954.0,337650752.0,2020-04-20
90,2259063,119518.0,337617982.0,2020-04-21
91,2285123,119802.0,337591638.0,2020-04-22
92,2315466,120214.0,337560883.0,2020-04-23
93,2353430,120926.0,337522207.0,2020-04-24
94,2390036,121675.0,337484852.0,2020-04-25
95,2429534,124110.0,337442919.0,2020-04-26
96,2478573,124748.0,337393242.0,2020-04-27
97,2519848,125247.0,337351468.0,2020-04-28
98,2563016,125559.0,337307988.0,2020-04-29
99,2604643,125885.0,337266035.0,2020-04-30
100,2653658,127095.0,337215810.0,2020-05-01
101,2702432,127746.0,337166385.0,2020-05-02
102,2756012,128477.0,337112074.0,2020-05-03
103,2810649,129160.0,337056754.0,2020-05-04
104,2856831,129443.0,337010289.0,2020-05-05
105,2910593,129758.0,336956212.0,2020-05-06
106,2954967,130112.0,336911484.0,2020-05-07
107,3012432,131236.0,336852895.0,2020-05-08
108,3072486,132034.0,336792043.0,2020-05-09
109,3132161,133059.0,336731343.0,2020-05-10
110,3200781,133848.0,336661934.0,2020-05-11
111,3261240,134604.0,336600719.0,2020-05-12
112,3321657,135035.0,336539871.0,2020-05-13
113,3381064,135474.0,336480025.0,2020-05-14
114,3447328,136356.0,336412879.0,2020-05-15
115,3513573,137285.0,336345705.0,2020-05-16
116,3584222,138246.0,336274095.0,2020-05-17
117,3650523,139161.0,336206879.0,2020-05-18
118,3715856,140041.0,336140666.0,2020-05-19
119,3775544,140467.0,336080552.0,2020-05-20
120,3835834,140877.0,336019852.0,2020-05-21
121,3904609,141932.0,335950022.0,2020-05-22
122,3971818,143150.0,335881595.0,2020-05-23
123,4039339,144231.0,335812993.0,2020-05-24
124,4115163,145444.0,335735956.0,2020-05-25
125,4178240,146415.0,335671908.0,2020-05-26
126,4235243,146979.0,335614341.0,2020-05-27
127,4295140,148080.0,335553343.0,2020-05-28
128,4360025,149227.0,335487311.0,2020-05-29
129,4423776,150609.0,335422178.0,2020-05-30
130,4493465,152039.0,335351059.0,2020-05-31
131,4557797,153260.0,335285506.0,2020-06-01
132,4616263,154374.0,335225926.0,2020-06-02
133,4663555,154858.0,335178150.0,2020-06-03
134,4706245,155456.0,335134862.0,2020-06-04
135,4768277,156729.0,335071557.0,2020-06-05
136,4821777,158137.0,335016649.0,2020-06-06
137,4881958,159940.0,334954665.0,2020-06-07
138,4942707,161242.0,334892614.0,2020-06-08
139,5007349,162307.0,334826907.0,2020-06-09
140,5062599,162884.0,334771080.0,2020-06-10
141,5114276,163401.0,334718886.0,2020-06-11
142,5171428,164477.0,334660658.0,2020-06-12
143,5226185,166007.0,334604371.0,2020-06-13
144,5277541,167043.0,334551979.0,2020-06-14
145,5347619,168330.0,334480614.0,2020-06-15
146,5400700,169391.0,334426472.0,2020-06-16
147,5436037,169998.0,334390528.0,2020-06-17
148,5473424,170452.0,334352687.0,2020-06-18
149,5518521,171674.0,334306368.0,2020-06-19
150,5563786,172394.0,334260383.0,2020-06-20
151,5608863,173473.0,334214227.0,2020-06-21
152,5657400,174592.0,334164571.0,2020-06-22
153,5703293,175563.0,334117707.0,2020-06-23
154,5735438,176038.0,334085087.0,2020-06-24
155,5769831,176492.0,334050240.0,2020-06-25
156,5812440,177711.0,334006412.0,2020-06-26
157,5853037,178847.0,333964679.0,2020-06-27
158,5903733,179967.0,333912863.0,2020-06-28
159,5950327,180894.0,333865342.0,2020-06-29
160,5994767,181857.0,333819939.0,2020-06-30
161,6028953,182291.0,333785319.0,2020-07-01
162,6064595,182730.0,333749238.0,2020-07-02
163,6107400,183791.0,333705372.0,2020-07-03
164,6146622,184867.0,333665074.0,2020-07-04
165,6184501,185888.0,333626174.0,2020-07-05
166,6233560,186836.0,333576167.0,2020-07-06
167,6277311,187641.0,333531611.0,2020-07-07
168,6306654,188071.0,333501838.0,2020-07-08
169,6331974,188385.0,333476204.0,2020-07-09
170,6358762,188852.0,333448949.0,2020-07-10
171,6393268,189975.0,333413320.0,2020-07-11
172,6431684,190878.0,333374001.0,2020-07-12
173,6476593,192015.0,333327955.0,2020-07-13
174,6522825,192758.0,333280980.0,2020-07-14
175,6563624,193144.0,333239795.0,2020-07-15
176,6596269,193564.0,333206730.0,2020-07-16
177,6633639,194757.0,333168167.0,2020-07-17
178,6671415,195694.0,333129454.0,2020-07-18
179,6717054,196538.0,333082971.0,2020-07-19
180,6767469,197496.0,333031598.0,2020-07-20
181,6813864,198160.0,332984539.0,2020-07-21
182,6856518,198409.0,332941636.0,2020-07-22
183,6888779,198818.0,332908966.0,2020-07-23
184,6927172,199843.0,332869548.0,2020-07-24
185,6967429,200890.0,332828244.0,2020-07-25
186,7016854,201781.0,332777928.0,2020-07-26
187,7069267,202693.0,332724603.0,2020-07-27
188,7113868,203454.0,332679241.0,2020-07-28
189,7148433,203746.0,332644384.0,2020-07-29
190,7185186,204077.0,332607300.0,2020-07-30
191,7228165,204962.0,332563436.0,2020-07-31
192,7268372,205882.0,332522309.0,2020-08-01
193,7314854,206785.0,332474924.0,2020-08-02
194,7368733,207660.0,332420170.0,2020-08-03
195,7418445,208342.0,332369776.0,2020-08-04
196,7451930,208722.0,332335911.0,2020-08-05
197,7490153,209188.0,332297222.0,2020-08-06
198,7535356,209881.0,332251326.0,2020-08-07
199,7583732,210775.0,332202056.0,2020-08-08
200,7642106,211740.0,332142717.0,2020-08-09
201,7697700,212682.0,332086181.0,2020-08-10
202,7753210,213324.0,332030029.0,2020-08-11
203,7800184,213766.0,331982613.0,2020-08-12
204,7843469,214148.0,331938946.0,2020-08-13
205,7894228,214908.0,331887427.0,2020-08-14
206,7953299,215898.0,331827366.0,2020-08-15
207,8017395,216725.0,331762443.0,2020-08-16
208,8087807,217636.0,331691120.0,2020-08-17
209,8142778,218395.0,331635390.0,2020-08-18
210,8195303,218817.0,331582443.0,2020-08-19
211,8264268,219314.0,331512981.0,2020-08-20
212,8327060,220262.0,331449241.0,2020-08-21
213,8387882,221433.0,331387248.0,2020-08-22
214,8468214,222294.0,331306055.0,2020-08-23
215,8551156,223244.0,331222163.0,2020-08-24
216,8629450,224199.0,331142914.0,2020-08-25
217,8690383,224617.0,331081563.0,2020-08-26
218,8755025,225152.0,331016386.0,2020-08-27
219,8835113,226167.0,330935283.0,2020-08-28
220,8922879,227201.0,330846483.0,2020-08-29
221,9016017,228203.0,330752343.0,2020-08-30
222,9116879,229255.0,330650429.0,2020-08-31
223,9203751,230237.0,330562575.0,2020-09-01
224,9282019,230738.0,330483806.0,2020-09-02
225,9366604,231429.0,330398530.0,2020-09-03
226,9493932,233068.0,330269563.0,2020-09-04
227,9595380,234178.0,330167005.0,2020-09-05
228,9725514,235405.0,330035644.0,2020-09-06
229,9854922,236613.0,329905028.0,2020-09-07
230,9982571,237764.0,329776228.0,2020-09-08
231,10101963,238329.0,329656271.0,2020-09-09
232,10187842,239129.0,329569592.0,2020-09-10
233,10331958,240636.0,329423969.0,2020-09-11
234,10481517,242153.0,329272893.0,2020-09-12
235,10641054,243556.0,329111953.0,2020-09-13
236,10819815,244749.0,328931999.0,2020-09-14
237,10982695,246149.0,328767719.0,2020-09-15
238,11121209,246908.0,328628446.0,2020-09-16
239,11276946,247782.0,328471835.0,2020-09-17
240,11444298,249523.0,328302742.0,2020-09-18
241,11617714,251456.0,328127393.0,2020-09-19
242,11809681,253468.0,327933414.0,2020-09-20
243,12010766,255470.0,327730327.0,2020-09-21
244,12188370,257102.0,327551091.0,2020-09-22
245,12333605,258178.0,327404780.0,2020-09-23
246,12517891,259314.0,327219358.0,2020-09-24
247,12692859,261490.0,327042214.0,2020-09-25
248,12874110,263717.0,326858736.0,2020-09-26
249,12987021,265117.0,326744425.0,2020-09-27
250,13202223,266737.0,326527603.0,2020-09-28
251,13369712,268148.0,326358703.0,2020-09-29
252,13509385,269192.0,326217986.0,2020-09-30
253,13667916,270601.0,326058046.0,2020-10-01
254,13866747,273099.0,325856717.0,2020-10-02
255,14063763,275972.0,325656828.0,2020-10-03
256,14283186,278878.0,325434499.0,2020-10-04
257,14518320,281505.0,325196738.0,2020-10-05
258,14738243,283901.0,324974419.0,2020-10-06
259,14916374,285323.0,324794866.0,2020-10-07
260,15112615,286953.0,324596995.0,2020-10-08
261,15340114,289554.0,324366895.0,2020-10-09
262,15555849,292513.0,324148201.0,2020-10-10
263,15791626,295426.0,323909511.0,2020-10-11
264,16028528,298758.0,323669277.0,2020-10-12
265,16251284,301263.0,323444016.0,2020-10-13
266,16441926,302831.0,323251806.0,2020-10-14
267,16652287,304528.0,323039748.0,2020-10-15
268,16879508,307426.0,322809629.0,2020-10-16
269,17113651,311092.0,322571820.0,2020-10-17
270,17352825,314505.0,322329233.0,2020-10-18
271,17599265,317460.0,322079838.0,2020-10-19
272,17804290,320197.0,321872076.0,2020-10-20
273,17990459,321898.0,321684206.0,2020-10-21
274,18187884,323724.0,321484955.0,2020-10-22
275,18393674,327023.0,321275866.0,2020-10-23
276,18614461,330326.0,321051776.0,2020-10-24
277,18826056,333187.0,320837320.0,2020-10-25
278,18951580,334690.0,320710293.0,2020-10-26
279,19169548,336601.0,320490414.0,2020-10-27
280,19305731,338068.0,320352764.0,2020-10-28
281,19480364,339968.0,320176231.0,2020-10-29
282,19687206,343506.0,319965851.0,2020-10-30
283,19905955,347386.0,319743222.0,2020-10-31
284,20219881,350604.0,319426078.0,2020-11-01
